time_start,client1,client2,time_end
0.0,13,0,387.0
636.0,13,0,637.0
232819.0,6,26,233319.0
233238.0,32,2,233276.0
233415.0,32,5,235120.0
236802.0,6,5,236803.0
236805.0,6,26,236806.0
236811.0,6,5,236812.0
236814.0,6,26,236815.0
236823.0,6,5,236824.0
236826.0,6,26,236827.0
236832.0,6,5,236833.0
236836.0,6,26,236837.0
236844.0,6,5,236845.0
236847.0,6,26,236848.0
236853.0,6,5,237088.0
236856.0,6,26,237088.0
237088.0,6,5,237089.0
237264.0,6,5,237329.0
237344.0,6,26,237345.0
237347.0,6,26,237348.0
237351.0,6,26,237352.0
237354.0,6,26,237355.0
237359.0,6,26,237360.0
237378.0,5,26,237379.0
237381.0,5,26,237382.0
237385.0,5,26,237386.0
237388.0,5,26,237389.0
241293.0,13,0,241294.0
241296.0,13,0,241297.0
241299.0,13,0,241300.0
241302.0,13,0,241303.0
258555.0,10,8,258556.0
258557.0,10,8,258558.0
258635.0,10,8,258636.0
259101.0,10,8,259107.0
320984.0,6,5,320985.0
320987.0,6,5,320988.0
320990.0,6,5,320991.0
321002.0,6,5,321003.0
321008.0,6,5,321009.0
321013.0,6,5,321014.0
322575.0,33,2,322576.0
322585.0,33,2,322586.0
322595.0,33,2,322596.0
327304.0,36,33,328130.0
328245.0,36,33,328246.0
328248.0,36,33,328718.0
328736.0,36,33,328737.0
328770.0,36,33,328771.0
328810.0,36,33,328811.0
328852.0,36,33,328853.0
330644.0,13,0,330645.0
330674.0,13,0,330675.0
333513.0,33,2,333532.0
333733.0,33,6,334118.0
341341.0,33,6,341345.0
412849.0,14,29,412850.0
412850.0,14,29,412873.0
412895.0,14,29,415399.0
416199.0,14,5,416200.0
416200.0,14,5,416201.0
416206.0,14,5,417960.0
416681.0,14,18,416682.0
417361.0,14,18,418161.0
417382.0,33,2,417438.0
418271.0,14,18,418272.0
418409.0,14,29,418410.0
418418.0,14,18,419455.0
418423.0,14,29,419456.0
420474.0,12,8,420504.0
